BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1006260041,49 8TH AVE,5,5,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
1007640069,258 W 15TH ST,5,5,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
1007700025,227 W 20TH ST,5,3,2,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
1007900028,108 W 15TH ST,5,4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1008160042,96 5TH AVE,5,4,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1009367501,300 TO 350 E 33RD ST,5,4,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1010530017,435 W 43RD ST,5,3,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1010570038,406 W 48TH ST,5,5,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
1010860031,881 10TH AVE,5,4,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
1011260038,10 W 74TH ST,5,5,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0
1011440001,175 W 72ND ST,5,5,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0
1011500048,140 W 79TH ST,5,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1011620157,258 W 71ST ST,5,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1011860040,316 W 78TH ST,5,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1011860083,393 W END AVE,5,3,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1012030150,36 W 90TH ST,5,3,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1012050029,315 CENTRAL PARK W,5,3,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1012090006,65 W 95TH ST,5,5,4,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
1012160027,101 W 85TH ST,5,4,2,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
1012160060,168 W 86TH ST,5,4,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
1012350042,247 W 87TH ST,5,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1012410046,210 W 94TH ST,5,5,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0
1012420033,710 AMSTERDAM AVE,5,4,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
1012440090,98 RIVERSIDE DR,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1012507503,311 TO 317 W 89TH ST,5,4,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
1013470130,352 E 55TH ST,5,5,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1014220048,200 TO 220 E 68TH ST,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1014240017,227 E 69TH ST,5,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1014920049,1067 TO 1071 MADISON AVE,5,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1015250031,236 E 80TH ST,5,5,4,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0
1015250033,232 E 80TH ST,5,4,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1015520020,331 E 89TH ST,5,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1015560023,345 E 93RD ST,5,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1015590019,435 E 79TH ST,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
1015610013,419 E 81ST ST,5,5,4,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
1016020001,1150 5TH AVE,5,5,3,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0
1017300045,10 W 135TH ST,5,3,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
